date,region,product_category,sales,profit,discount,customer_segment,units_sold
2026-01-01,North,Software,1000,240,0.04,Enterprise,10
2026-01-02,South,Hardware,1087,238,0.05,SMB,13
2026-01-03,East,Services,1174,236,0.06,Mid-Market,16
2026-01-04,West,Software,1261,234,0.07,Enterprise,19
2026-01-05,North,Hardware,1348,332,0.08,SMB,22
2026-01-06,South,Services,1435,330,0.09,Mid-Market,25
2026-01-07,East,Software,1522,328,0.10,Enterprise,28
2026-01-08,West,Hardware,1609,326,0.11,SMB,31
2026-01-09,North,Services,1696,424,0.12,Mid-Market,34
2026-01-10,South,Software,1783,422,0.13,Enterprise,37
2026-01-11,East,Hardware,1870,420,0.14,SMB,40
2026-01-12,West,Services,1957,418,0.15,Mid-Market,43
2026-01-13,North,Software,2044,516,0.04,Enterprise,46
2026-01-14,South,Hardware,2131,514,0.05,SMB,49
2026-01-15,East,Services,2218,512,0.06,Mid-Market,52
2026-01-16,West,Software,2305,510,0.07,Enterprise,55
2026-01-17,North,Hardware,2392,608,0.08,SMB,58
2026-01-18,South,Services,2479,606,0.09,Mid-Market,61
2026-01-19,East,Software,2566,604,0.10,Enterprise,64
2026-01-20,West,Hardware,2653,602,0.11,SMB,67
2026-01-21,North,Services,2740,700,0.12,Mid-Market,70
2026-01-22,South,Software,2827,698,0.13,Enterprise,73
2026-01-23,East,Hardware,2914,696,0.14,SMB,76
2026-01-24,West,Services,3001,694,0.15,Mid-Market,79
2026-01-25,North,Software,3088,792,0.04,Enterprise,82
2026-01-26,South,Hardware,3175,790,0.05,SMB,85
2026-01-27,East,Services,3262,788,0.06,Mid-Market,88
2026-01-28,West,Software,3349,786,0.07,Enterprise,91
2026-01-29,North,Hardware,3436,884,0.08,SMB,94
2026-01-30,South,Services,3523,882,0.09,Mid-Market,97
2026-01-31,East,Software,3610,880,0.10,Enterprise,100
2026-02-01,West,Hardware,3697,878,0.11,SMB,103
2026-02-02,North,Services,3784,976,0.12,Mid-Market,106
2026-02-03,South,Software,3871,974,0.13,Enterprise,109
2026-02-04,East,Hardware,3958,972,0.14,SMB,112
2026-02-05,West,Services,4045,970,0.15,Mid-Market,115
2026-02-06,North,Software,4132,1068,0.04,Enterprise,118
2026-02-07,South,Hardware,4219,1066,0.05,SMB,121
2026-02-08,East,Services,4306,1064,0.06,Mid-Market,124
2026-02-09,West,Software,4393,1062,0.07,Enterprise,127
2026-02-10,North,Hardware,4480,1160,0.08,SMB,130
2026-02-11,South,Services,4567,1158,0.09,Mid-Market,133
2026-02-12,East,Software,4654,1156,0.10,Enterprise,136
2026-02-13,West,Hardware,4741,1154,0.11,SMB,139
2026-02-14,North,Services,4828,1252,0.12,Mid-Market,142
2026-02-15,South,Software,4915,1250,0.13,Enterprise,145
2026-02-16,East,Hardware,5002,1248,0.14,SMB,148
2026-02-17,West,Services,5089,1246,0.15,Mid-Market,151
2026-02-18,North,Software,5176,1344,0.04,Enterprise,154
2026-02-19,South,Hardware,5263,1342,0.05,SMB,157
2026-02-20,East,Services,5350,1340,0.06,Mid-Market,160
2026-02-21,West,Software,5437,1338,0.07,Enterprise,163
2026-02-22,North,Hardware,5524,1436,0.08,SMB,166
2026-02-23,South,Services,5611,1434,0.09,Mid-Market,169
2026-02-24,East,Software,5698,1432,0.10,Enterprise,172
2026-02-25,West,Hardware,5785,1430,0.11,SMB,175
2026-02-26,North,Services,5872,1528,0.12,Mid-Market,178
2026-02-27,South,Software,5959,1526,0.13,Enterprise,181
2026-02-28,East,Hardware,6046,1524,0.14,SMB,184
2026-03-01,West,Services,6133,1522,0.15,Mid-Market,187
