date,region,product_category,sales,profit,discount,customer_segment,units_sold
2026-01-01,North,Software,12500,4100,0.05,Enterprise,42
2026-01-08,North,Hardware,8700,1800,0.12,SMB,31
2026-01-15,South,Software,14300,5200,0.04,Enterprise,48
2026-01-22,East,Services,7600,2600,0.02,Mid-Market,18
2026-01-29,West,Hardware,9200,1500,0.15,SMB,34
2026-02-05,North,Services,8200,3100,0.03,Mid-Market,21
2026-02-12,South,Hardware,9900,1700,0.14,SMB,39
2026-02-19,East,Software,15100,5600,0.05,Enterprise,52
2026-02-26,West,Services,6900,2200,0.04,Mid-Market,16
2026-03-05,North,Software,16600,6400,0.03,Enterprise,57
2026-03-12,South,Services,7800,2800,0.02,Mid-Market,19
2026-03-19,East,Hardware,10100,1900,0.13,SMB,41
2026-03-26,West,Software,13200,4300,0.07,Enterprise,44
2026-04-02,North,Hardware,9500,1600,0.16,SMB,36
2026-04-09,South,Software,17400,7100,0.02,Enterprise,61
2026-04-16,East,Services,8400,3300,0.01,Mid-Market,23
2026-04-23,West,Hardware,8900,1200,0.18,SMB,33
2026-04-30,North,Services,9100,3600,0.02,Mid-Market,24
2026-05-07,South,Hardware,10400,2100,0.11,SMB,43
2026-05-14,East,Software,18800,7900,0.01,Enterprise,66
2026-05-21,West,Services,7300,2400,0.03,Mid-Market,17
2026-05-28,North,Software,19200,8200,0.02,Enterprise,68
2026-06-04,South,Services,8600,3400,0.02,Mid-Market,22
2026-06-11,East,Hardware,11200,2300,0.10,SMB,45

